Name,Start,End,Len
PCAR,2001-01-02,2021-05-24,5130
ALK,2001-01-02,2021-05-24,5130
URI,2001-01-02,2021-05-24,5130
SCHW,2001-01-02,2021-05-24,5130
BK,2001-01-02,2021-05-24,5130
MDT,2001-01-02,2021-05-24,5130
EIX,2001-01-02,2021-05-24,5130
TDY,2001-01-02,2021-05-24,5130
DGX,2001-01-02,2021-05-24,5130
PKG,2001-01-02,2021-05-24,5130
CINF,2001-01-02,2021-05-24,5130
HAL,2001-01-02,2021-05-24,5130
HSY,2001-01-02,2021-05-24,5130
AMZN,2001-01-02,2021-05-24,5130
SYK,2001-01-02,2021-05-24,5130
SWKS,2001-01-02,2021-05-24,5130
DXCM,2005-04-14,2021-05-24,4056
APA,2001-01-02,2021-05-24,5130
SBAC,2001-01-02,2021-05-24,5130
AMAT,2001-01-02,2021-05-24,5130
TFC,2001-01-02,2021-05-24,5130
NI,2001-01-02,2021-05-24,5130
KEY,2001-01-02,2021-05-24,5130
DIS,2001-01-02,2021-05-24,5130
SYF,2014-07-31,2021-05-24,1716
NSC,2001-01-02,2021-05-24,5130
PXD,2001-01-02,2021-05-24,5130
NWL,2001-01-02,2021-05-24,5130
PHM,2001-01-02,2021-05-24,5130
ARE,2001-01-02,2021-05-24,5130
TSN,2001-01-02,2021-05-24,5130
CMS,2001-01-02,2021-05-24,5130
AVGO,2009-08-06,2021-05-24,2970
TJX,2001-01-02,2021-05-24,5130
ROST,2001-01-02,2021-05-24,5130
VIAC,2005-12-05,2021-05-24,3893
LLY,2001-01-02,2021-05-24,5130
CARR,2020-03-19,2021-05-24,298
AAL,2005-09-27,2021-05-24,3941
CBOE,2010-06-15,2021-05-24,2755
RMD,2001-01-02,2021-05-24,5130
TAP,2001-01-02,2021-05-24,5130
HPE,2015-10-19,2021-05-24,1409
HBAN,2001-01-02,2021-05-24,5130
WLTW,2001-06-12,2021-05-24,5019
GLW,2001-01-02,2021-05-24,5130
MOS,2001-01-02,2021-05-24,5130
JKHY,2001-01-02,2021-05-24,5130
TWTR,2013-11-07,2021-05-24,1898
ABBV,2013-01-02,2021-05-24,2113
TER,2001-01-02,2021-05-24,5130
LH,2001-01-02,2021-05-24,5130
EMN,2001-01-02,2021-05-24,5130
AXP,2001-01-02,2021-05-24,5130
EVRG,2001-01-02,2021-05-24,5130
OMC,2001-01-02,2021-05-24,5130
EFX,2001-01-02,2021-05-24,5130
TXN,2001-01-02,2021-05-24,5130
IPGP,2006-12-13,2021-05-24,3635
