idx,Close,Open,High,Low,Volume,Variation,LNT,DIS,KMX,DTE,EXR,EFX,ZBH,JNJ,PEP,DUK,BBANDS_upper,BBANDS_middle,BBANDS_lower
13,-0.3853536054457186,-1.229631348422511,-0.80502959191832,-0.8709837578098734,0,0.1689174883674729,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,-0.1994024920004176,-0.919300698439781,-1.6391989048791444
14,-0.1993192048308986,-0.5506911017343047,-0.1588521476302254,-0.1136005206345902,0,-0.1248648462082007,0.065702941457468,2.90910657419695e-27,0.1910934772097509,0.1855155556045007,3.596546219263513e-06,0.0,0.0,0.4515045993528371,0.4685714359968702,0.34264223608451,0.07360383574627272,-0.8371464389362581,-1.7478967136187888
15,0.7042634207572822,0.0276584768616908,0.4604031622399009,0.4544291684227309,0,0.0220263210797339,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9869403423602539,-0.47039703390024384,-1.9277344101607417
16,1.1826365075551035,0.8826216012648975,0.918110259516599,0.7249165484218256,0,0.5361138893861963,0.993834360161131,0.5631481093456294,0.0188338776947928,0.005492056075676,1.7716986717904603e-06,0.0034624721495089,0.3410689001581384,0.665339343219358,0.5402995180320227,0.875644582994199,1.7546920581209842,-0.007973011504665317,-1.7706380811303146
17,1.847043994967745,1.435827109986643,1.5642877038046936,1.6175434755966345,-1,-0.1248648462081616,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,2.3057614830826294,0.6298542226007027,-1.046053037881224
18,0.3853505640528234,1.6621453217477289,1.3219730879573317,0.995403928420906,0,0.903331301872094,1.5170353576394598e-17,0.1818537510218218,1.0,0.0208578950489301,1.0,0.992066826746212,1.0,0.3109042180424528,0.1067072816069708,0.030883099925485,2.1757334094130916,0.7839950565004111,-0.6077432964122692
19,0.0664377073483646,0.2288254244509812,0.0296181993811568,0.6437672388924609,0,-1.6670855281933572,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,2.087754553165653,0.8371464389362637,-0.4134616752931255
20,-1.5174741258419766,-0.8906301022850059,-1.387055367653558,-1.3615733683441742,2,0.2769970558486314,0.0299828822626177,0.7026261161578385,0.4728158386493685,0.988128520366155,8.795828379258659e-07,0.9920074161853432,1.3546755949629694e-28,0.9810378174139508,0.7107508236476199,0.9788131567130408,2.6721641713594635,0.39279892961641194,-1.8865663121266398
21,-1.5428480898333865,-1.276742461251192,-1.7774103648151225,-1.267013368879679,0,-0.9468911365577064,0.0957923968672107,0.5977224902049367,0.0970753225988068,0.9671414312677592,0.4831168021981978,0.5514309626196058,0.5286535073007356,0.6630741167243606,0.7179887016230598,0.5705855949071246,2.3982494192794888,-0.15229798986128604,-2.702845399002061
22,-0.68007523352119,-1.84303420518502,-0.5282728848176564,-1.4561198418467949,0,2.6603088053292483,0.4902306015776178,0.8790152465751027,0.0049365609632416,0.5729401899799763,0.8446454820486119,0.8608126291153009,0.6999842441072541,0.8356689060711361,0.8577266930180245,0.6991609848290508,0.9260784638395232,-0.657721835559073,-2.2415221349576693
23,-0.6293200454628362,-0.4015549385598667,-0.476236968146307,-0.3214810040441121,0,-0.3027607951837081,0.1963227763644247,0.8991128887927569,0.0017249082250729,0.3646734386277774,0.9045708388158222,0.8054641405606766,0.7832522846115435,0.788552276598153,0.8901679694684999,0.5333461528472406,0.35340320984536167,-0.860655957462205,-2.0747151247697717
24,-0.1725523932397872,-0.015442579593667,-0.0858819709847288,-0.1087379127013284,0,0.0837321528391452,0.9167399550352712,0.9417687467741912,0.0009622847640189,0.2776088589453237,0.913174067962972,0.6975563679182777,0.9004921826274845,0.7677037331770211,0.9431263086381,0.3622377291962366,0.16671491158402252,-0.9084539775798353,-1.983622866743693
25,0.5125954550570327,0.6538119690991,0.2524296641031728,0.5058615059322668,0,-0.7536446625462797,0.983499463354918,0.9640441182427124,0.0193695840483109,0.2155835043643736,0.9162018793943174,0.6695979847126359,0.9442845936082916,0.8751557901623171,0.972223764025061,0.2772929038469361,0.8449202092424798,-0.5024400614000334,-1.8498003320425465
26,0.8424787671719505,0.9112226632367884,0.8509655549616321,0.9077110702421536,1,-0.3671701435215201,0.9803612221173093,0.9842817043950174,0.0122912171686344,0.1772493060315291,0.9473527539546056,0.3224989326600107,0.9750222732473816,0.8671530691963698,0.9790337620007524,0.1998407225393281,1.193682509807836,-0.025374689998966016,-1.244431889805768
27,0.9186006591461668,0.9112226632367884,1.0331396584263015,1.0022643067257118,0,-0.1739052405119996,0.558058654487757,0.9768258751462192,0.0050972964898402,0.1698962354447173,0.9281994127345948,0.2484093229176311,0.9663652586825104,0.9136185876012356,0.9771986568973609,0.161805873414214,1.4973332418908654,0.29436048853450536,-0.9086122648218548
28,0.9947298111959442,0.8597375786169653,0.6688063423015478,0.954991069974414,0,-0.9468911365577752,0.5922268605829178,0.9785339776187943,0.0045292372611804,0.1430675517617085,0.8580504936889026,0.1999421728825673,0.9705206751909784,0.8019182558965418,0.977604057942144,0.1317778463643082,1.4764933528321147,0.6191704598662614,-0.238152433099592
29,1.2738651953280555,1.091409412685109,1.4495163366246904,1.1440975429415172,-1,0.4702251008619643,0.5172244666944948,0.9694930139415938,0.7565128794305074,0.1336604430755159,0.8538704602875962,0.1690823488042183,0.9561533650936818,0.7064248250135662,0.9794954874875156,0.1214540225055672,1.4000867925232592,0.9084539775798299,0.4168211626364007
30,1.0335545385469382,1.98877736953237,1.884514279343608,1.4198479692211154,1,1.586314096697321,0.4012687269131044,0.8686469956726809,0.0118291164321661,0.0769025078549461,0.6811097617502282,0.1288687994838602,0.8306942694435244,0.475707467101303,0.9055587295521416,0.0715642975029367,1.304940218552685,1.012645794277811,0.7203513700029373
31,1.3195076196150923,0.8540369654612664,0.7631513386489513,1.3828754339114817,1,-0.925950742177508,0.4842901906625488,0.8639802399335845,0.0100335999699513,0.0914262022328007,0.6279914338904807,0.1456924798032409,0.8216847581114533,0.4450721160799099,0.912065607619774,0.1008561581511047,1.4261598426849655,1.1080515647664393,0.789943286847913
32,0.7475780819305894,0.6151536915700409,0.5451063166748907,1.0131183447333336,0,-0.7106090620195296,0.3757396474156058,0.8527822654145556,0.010453984838455,0.0959282330308907,0.5862436283258757,0.1748340312097652,0.787343897127764,0.472878045112899,0.8934384110792626,0.1111275335732104,1.4882775862332747,1.0738470493233239,0.6594165124133731
33,0.4207762303918559,0.3165261047314479,-0.2336157197462987,0.199669674451707,1,-0.925950742177508,0.6124508290238098,0.8437742737854657,0.0086899923370787,0.1114617521895753,0.5482975045678109,0.2107786867245002,0.7781372762678058,0.3800569291562355,0.8722452764719569,0.0934130696660083,1.6337700514114735,0.9590563331625062,0.28434261491353896
34,0.9518453098316818,0.435980556845003,0.5451063166748907,0.4215154650034463,0,0.4378525173389148,0.379424748748802,0.8649133162817801,0.0151873410225011,0.0785394763602012,0.5266967380634218,0.2165861834156062,0.770983008215587,0.3513831651861325,0.8785898342392793,0.0795024283506711,1.4941563309092203,0.8946523560632313,0.2951483812172424
35,0.0939626910790031,-0.7584870732828941,0.3270702065012618,-0.4289163192817313,0,1.5863346328102104,0.6403432553360575,0.8222989563362182,0.2962061049786387,0.0736118112055595,0.498447867381045,0.2482281297216575,0.7573177682954584,0.3564102336057371,0.8543224937694566,0.0710006053860028,1.5526653432024873,0.7067339865696443,-0.13919737006319877
36,-0.9273266973300256,-0.1313896451905726,0.0467227874772491,-0.3549606699685466,0,0.7967416268601586,0.5020696213600134,0.8140764329889667,0.5840840895139879,0.1004165285339923,0.5015492425512122,0.3277376956128583,0.7530381506012868,0.5131292388974841,0.8411019382123883,0.0787251484843152,1.577824537539401,0.2573671231806207,-1.0630902911781597
37,-0.8047803859183089,-0.6091732798635977,-1.1992360355168137,-1.0205191990116385,0,-0.7823827767012387,0.5578377326923645,0.8220243643408872,0.5953207724727845,0.0947949593580516,0.4806464246950382,0.3478665691640971,0.7289861069157537,0.5189115690258277,0.8353369318861286,0.0579976625357695,1.3850600692498238,-0.053104570389158945,-1.4912692100281415
